,Annual Return,Annual Volatility,Sharpe Ratio
RELIANCE.NS,0.1967450141595261,0.28383909926186196,0.5170007040648875
TCS.NS,0.10646821965391978,0.2441423993465622,0.2312921467350809
HDFCBANK.NS,0.12091159654354469,0.25291057127642497,0.28038209785244633
INFY.NS,0.17072187179172224,0.2801537876520849,0.43091286683456637
ICICIBANK.NS,0.24806669166076373,0.29740668932391323,0.6659792760916828
HINDUNILVR.NS,0.08121665777671012,0.22898023921418037,0.13632904692492315
LT.NS,0.22039788843877478,0.27707062786053227,0.6149980232641158
ITC.NS,0.10321959859896002,0.24729467636957944,0.21520721505312088
AAPL,0.3387094441690616,0.3158244052630431,0.9141454534794484
MSFT,0.25520741637133976,0.29220670644706825,0.7022679898981444
AMZN,0.209106958384697,0.34844679013341323,0.45661766126121633
GOOGL,0.31584184567007045,0.31765269167326643,0.8368946734552215
^NSEI,0.14338569618050426,0.1773096541476873,0.526681396054837
^GSPC,0.16974499277445637,0.1998654516872819,0.599128022194724
